accession	source
GCF_000006665.1	NCBI
GCF_000006745.1	NCBI
GCF_000006765.1	NCBI
GCF_000006845.1	NCBI
GCF_000006945.2	NCBI
GCF_000007445.1	NCBI
GCF_000007525.1	NCBI
GCF_000007545.1	NCBI
GCF_000007625.1	NCBI
GCF_000007705.1	NCBI
GCF_000007785.1	NCBI
GCF_000007805.1	NCBI
GCF_000007825.1	NCBI
GCF_000007845.1	NCBI
GCF_000007905.1	NCBI
GCF_000008065.1	NCBI
GCF_000008105.1	NCBI
GCF_000008165.1	NCBI
GCF_000008425.1	NCBI
GCF_000008585.1	NCBI
GCF_000008765.1	NCBI
GCF_000008945.1	NCBI
GCF_000009045.1	NCBI
GCF_000009125.1	NCBI
GCF_000009205.2	NCBI
GCF_000009225.2	NCBI
GCF_000009245.1	NCBI
GCF_000009425.1	NCBI
GCF_000009485.1	NCBI
GCF_000009525.1	NCBI
GCF_000009565.1	NCBI
GCF_000009625.1	NCBI
GCF_000009685.1	NCBI
GCF_000009785.1	NCBI
GCF_000009805.1	NCBI
GCF_000009925.1	NCBI
GCF_000010005.1	NCBI
GCF_000010025.1	NCBI
GCF_000010045.1	NCBI
GCF_000010105.1	NCBI
GCF_000010145.1	NCBI
GCF_000010165.1	NCBI
GCF_000010225.1	NCBI
GCF_000010245.2	NCBI
GCF_000010305.1	NCBI
GCF_000010325.1	NCBI
GCF_000010385.1	NCBI
GCF_000010445.1	NCBI
GCF_000010485.1	NCBI
GCF_000010525.1	NCBI
GCF_000010545.1	NCBI
GCF_000010585.1	NCBI
GCF_000010705.1	NCBI
GCF_000010745.1	NCBI
GCF_000010765.1	NCBI
GCF_000010805.1	NCBI
GCF_000010825.1	NCBI
GCF_000011045.1	NCBI
GCF_000011145.1	NCBI
GCF_000011265.1	NCBI
GCF_000011305.1	NCBI
GCF_000011385.1	NCBI
GCF_000011505.1	NCBI
GCF_000011525.1	NCBI
GCF_000011545.1	NCBI
GCF_000011605.1	NCBI
GCF_000011625.1	NCBI
GCF_000011665.1	NCBI
GCF_000011685.1	NCBI
GCF_000011805.1	NCBI
GCF_000011865.1	NCBI
GCF_000011925.1	NCBI
GCF_000012025.1	NCBI
GCF_000012045.1	NCBI
GCF_000012205.1	NCBI
GCF_000012245.1	NCBI
GCF_000012265.1	NCBI
GCF_000012305.1	NCBI
GCF_000012365.1	NCBI
GCF_000012445.1	NCBI
GCF_000012625.1	NCBI
GCF_000012665.1	NCBI
GCF_000012725.1	NCBI
GCF_000012785.1	NCBI
GCF_000012805.1	NCBI
GCF_000012905.2	NCBI
GCF_000012945.1	NCBI
GCF_000012985.1	NCBI
GCF_000013265.1	NCBI
GCF_000013285.1	NCBI
GCF_000013305.1	NCBI
GCF_000013325.1	NCBI
GCF_000013565.1	NCBI
GCF_000013765.1	NCBI
GCF_000014125.1	NCBI
GCF_000014425.1	NCBI
GCF_000014445.1	NCBI
GCF_000014465.1	NCBI
GCF_000014605.1	NCBI
GCF_000014625.1	NCBI
GCF_000014645.1	NCBI
GCF_000014765.1	NCBI
GCF_000014785.1	NCBI
GCF_000014805.1	NCBI
GCF_000014845.1	NCBI
GCF_000014985.1	NCBI
GCF_000015065.1	NCBI
GCF_000015325.1	NCBI
GCF_000015345.1	NCBI
GCF_000015365.1	NCBI
GCF_000015445.1	NCBI
GCF_000015485.1	NCBI
GCF_000015585.1	NCBI
GCF_000015605.1	NCBI
GCF_000015625.1	NCBI
GCF_000015745.1	NCBI
GCF_000015865.1	NCBI
GCF_000015885.1	NCBI
GCF_000015905.1	NCBI
GCF_000015925.1	NCBI
GCF_000015985.1	NCBI
GCF_000016165.1	NCBI
GCF_000016245.1	NCBI
GCF_000016265.1	NCBI
GCF_000016285.1	NCBI
GCF_000016305.1	NCBI
GCF_000016325.1	NCBI
GCF_000016345.1	NCBI
GCF_000016425.1	NCBI
GCF_000016445.1	NCBI
GCF_000016725.1	NCBI
GCF_000016925.1	NCBI
GCF_000016945.1	NCBI
GCF_000017025.1	NCBI
GCF_000017065.1	NCBI
GCF_000017085.1	NCBI
GCF_000017145.1	NCBI
GCF_000017205.1	NCBI
GCF_000017245.1	NCBI
GCF_000017305.1	NCBI
GCF_000017325.1	NCBI
GCF_000017585.1	NCBI
GCF_000017665.1	NCBI
GCF_000017725.2	NCBI
GCF_000017745.1	NCBI
GCF_000017765.1	NCBI
GCF_000017785.1	NCBI
GCF_000017805.1	NCBI
GCF_000017985.1	NCBI
GCF_000018045.1	NCBI
GCF_000018105.1	NCBI
GCF_000018145.1	NCBI
GCF_000018345.1	NCBI
GCF_000018385.1	NCBI
GCF_000018445.1	NCBI
GCF_000018545.1	NCBI
GCF_000018665.1	NCBI
GCF_000018685.1	NCBI
GCF_000018805.1	NCBI
GCF_000018825.1	NCBI
GCF_000018845.1	NCBI
GCF_000018985.1	NCBI
GCF_000019005.1	NCBI
GCF_000019025.1	NCBI
GCF_000019125.1	NCBI
GCF_000019185.1	NCBI
GCF_000019225.1	NCBI
GCF_000019265.1	NCBI
GCF_000019305.1	NCBI
GCF_000019325.1	NCBI
GCF_000019345.1	NCBI
GCF_000019365.1	NCBI
GCF_000019405.1	NCBI
GCF_000019425.1	NCBI
GCF_000019525.1	NCBI
GCF_000019545.1	NCBI
GCF_000019565.1	NCBI
GCF_000019585.2	NCBI
GCF_000019785.1	NCBI
GCF_000019925.1	NCBI
GCF_000020045.1	NCBI
GCF_000020125.1	NCBI
GCF_000020365.1	NCBI
GCF_000020505.1	NCBI
GCF_000020565.1	NCBI
GCF_000020705.1	NCBI
GCF_000020725.1	NCBI
GCF_000020845.1	NCBI
GCF_000020865.1	NCBI
GCF_000020925.1	NCBI
GCF_000021005.1	NCBI
GCF_000021045.1	NCBI
GCF_000021245.2	NCBI
GCF_000021605.1	NCBI
GCF_000021625.1	NCBI
GCF_000021825.1	NCBI
GCF_000022065.1	NCBI
GCF_000022085.1	NCBI
GCF_000022225.1	NCBI
GCF_000022245.1	NCBI
GCF_000022265.1	NCBI
GCF_000022645.2	NCBI
GCF_000022685.1	NCBI
GCF_000022725.1	NCBI
GCF_000022805.1	NCBI
GCF_000022845.1	NCBI
GCF_000022885.2	NCBI
GCF_000022925.1	NCBI
GCF_000022985.1	NCBI
GCF_000023025.1	NCBI
GCF_000023065.1	NCBI
GCF_000023085.1	NCBI
GCF_000023125.1	NCBI
GCF_000023245.1	NCBI
GCF_000023285.1	NCBI
GCF_000023305.1	NCBI
GCF_000023365.1	NCBI
GCF_000023565.1	NCBI
GCF_000023605.1	NCBI
GCF_000023745.1	NCBI
GCF_000024005.1	NCBI
GCF_000024065.1	NCBI
GCF_000024085.1	NCBI
GCF_000024105.1	NCBI
GCF_000024125.1	NCBI
GCF_000024165.1	NCBI
GCF_000024205.1	NCBI
GCF_000024225.1	NCBI
GCF_000024265.1	NCBI
GCF_000024365.1	NCBI
GCF_000024585.1	NCBI
GCF_000024645.1	NCBI
GCF_000024725.1	NCBI
GCF_000024965.1	NCBI
GCF_000025045.1	NCBI
GCF_000025065.1	NCBI
GCF_000025085.1	NCBI
GCF_000025145.1	NCBI
GCF_000025165.1	NCBI
GCF_000025405.2	NCBI
GCF_000025565.1	NCBI
GCF_000025745.1	NCBI
GCF_000025965.1	NCBI
GCF_000026105.1	NCBI
GCF_000026145.1	NCBI
GCF_000026225.1	NCBI
GCF_000026265.1	NCBI
GCF_000026285.1	NCBI
GCF_000026305.1	NCBI
GCF_000026325.1	NCBI
GCF_000026345.1	NCBI
GCF_000026485.1	NCBI
GCF_000026545.1	NCBI
GCF_000026565.1	NCBI
GCF_000026585.1	NCBI
GCF_000026645.1	NCBI
GCF_000027085.1	NCBI
GCF_000027105.1	NCBI
GCF_000027125.1	NCBI
GCF_000027145.1	NCBI
GCF_000027205.1	NCBI
GCF_000027225.1	NCBI
GCF_000046705.1	NCBI
GCF_000046845.1	NCBI
GCF_000055785.1	NCBI
