protein_id	t6ss_system	source_acc	start	end	organism	component
T6CP000001	T6SS00002	NC_002506	116846	117352	Vibrio cholerae O1 biovar El Tor str. N16961	TssB
T6CP000002	T6SS00002	NC_002506	117396	118871	Vibrio cholerae O1 biovar El Tor str. N16961	TssC
T6CP000003	T6SS00002	NC_002506	119317	121086	Vibrio cholerae O1 biovar El Tor str. N16961	TssF
T6CP000004	T6SS00002	NC_002506	121050	122066	Vibrio cholerae O1 biovar El Tor str. N16961	TssG
T6CP000005	T6SS00002	NC_002506	123559	124035	Vibrio cholerae O1 biovar El Tor str. N16961	TssJ
T6CP000006	T6SS00002	NC_002506	124042	125376	Vibrio cholerae O1 biovar El Tor str. N16961	TssK
T6CP000007	T6SS00002	NC_002506	125379	126152	Vibrio cholerae O1 biovar El Tor str. N16961	TssL
T6CP000008	T6SS00002	NC_002506	126178	128787	Vibrio cholerae O1 biovar El Tor str. N16961	TssH
T6CP000009	T6SS00002	NC_002506	132515	136015	Vibrio cholerae O1 biovar El Tor str. N16961	TssM
T6CP000010	T6SS00002	NC_002506	137581	140634	Vibrio cholerae O1 biovar El Tor str. N16961	TssI
T6CP008374	T6SS00002	NC_002506	118874	119311	Vibrio cholerae O1 biovar El Tor str. N16961	TssE
T6CP008375	T6SS00002	NC_002506	131045	132454	Vibrio cholerae O1 biovar El Tor str. N16961	TssA
T6CP008376	T6SS00002	NC_002506	136066	137328	Vibrio cholerae O1 biovar El Tor str. N16961	TssA
T6CP011388	T6SS00002	NC_002506	122069	123556	Vibrio cholerae O1 biovar El Tor str. N16961	FHA
T6CP011389	T6SS00002	NC_002506	115142	115426	Vibrio cholerae O1 biovar El Tor str. N16961	PAAR
T6CP012413	T6SS00002	NC_002506	128790	130382	Vibrio cholerae O1 biovar El Tor str. N16961	VasH
T6CP005094	T6SS00003	NC_002516	91521	94826	Pseudomonas aeruginosa PAO1	TssM
T6CP005095	T6SS00003	NC_002516	95048	96397	Pseudomonas aeruginosa PAO1	TssL
T6CP005096	T6SS00003	NC_002516	96404	97738	Pseudomonas aeruginosa PAO1	TssK
T6CP005097	T6SS00003	NC_002516	97754	98218	Pseudomonas aeruginosa PAO1	TssJ
T6CP005098	T6SS00003	NC_002516	100124	101158	Pseudomonas aeruginosa PAO1	TssA
T6CP005099	T6SS00003	NC_002516	101247	101765	Pseudomonas aeruginosa PAO1	TssB
T6CP005100	T6SS00003	NC_002516	101778	103274	Pseudomonas aeruginosa PAO1	TssC
T6CP005101	T6SS00003	NC_002516	103350	103838	Pseudomonas aeruginosa PAO1	TssD
T6CP005102	T6SS00003	NC_002516	104853	105362	Pseudomonas aeruginosa PAO1	TssE
T6CP005103	T6SS00003	NC_002516	105359	107218	Pseudomonas aeruginosa PAO1	TssF
T6CP005104	T6SS00003	NC_002516	107182	108228	Pseudomonas aeruginosa PAO1	TssG
T6CP005105	T6SS00003	NC_002516	108221	110929	Pseudomonas aeruginosa PAO1	TssH
T6CP005106	T6SS00003	NC_002516	110976	112907	Pseudomonas aeruginosa PAO1	TssI
T6CP005107	T6SS00003	NC_002516	115299	117524	Pseudomonas aeruginosa PAO1	TssI
T6CP011390	T6SS00003	NC_002516	98263	99756	Pseudomonas aeruginosa PAO1	FHA
T6CP012414	T6SS00003	NC_002516	82404	83318	Pseudomonas aeruginosa PAO1	TagQ
T6CP012415	T6SS00003	NC_002516	83380	85092	Pseudomonas aeruginosa PAO1	TagR
T6CP012416	T6SS00003	NC_002516	85085	86284	Pseudomonas aeruginosa PAO1	TagS
T6CP012417	T6SS00003	NC_002516	86284	87003	Pseudomonas aeruginosa PAO1	TagT
T6CP012418	T6SS00003	NC_002516	87000	90098	Pseudomonas aeruginosa PAO1	PpkA
T6CP012419	T6SS00003	NC_002516	90106	90834	Pseudomonas aeruginosa PAO1	PppA
T6CP012420	T6SS00003	NC_002516	90844	91524	Pseudomonas aeruginosa PAO1	TagF
T6CP012694	T6SS00003	NC_002516	104006	104851	Pseudomonas aeruginosa PAO1	TagJ
T6CP259499	T6SS00003	NC_002516	293802	296861	Pseudomonas aeruginosa PAO1	TssI
T6CP000011	T6SS00004	NC_002516	1805218	1805724	Pseudomonas aeruginosa PAO1	TssB
T6CP000012	T6SS00004	NC_002516	1805753	1807228	Pseudomonas aeruginosa PAO1	TssC
T6CP000013	T6SS00004	NC_002516	1808193	1809773	Pseudomonas aeruginosa PAO1	TssF
T6CP000014	T6SS00004	NC_002516	1809737	1810744	Pseudomonas aeruginosa PAO1	TssG
T6CP000015	T6SS00004	NC_002516	1810751	1813384	Pseudomonas aeruginosa PAO1	TssH
T6CP000016	T6SS00004	NC_002516	1816352	1816858	Pseudomonas aeruginosa PAO1	TssJ
T6CP000017	T6SS00004	NC_002516	1816855	1818186	Pseudomonas aeruginosa PAO1	TssK
T6CP000018	T6SS00004	NC_002516	1818189	1819058	Pseudomonas aeruginosa PAO1	TssL
T6CP000019	T6SS00004	NC_002516	1819074	1822601	Pseudomonas aeruginosa PAO1	TssM
T6CP008377	T6SS00004	NC_002516	1803626	1805182	Pseudomonas aeruginosa PAO1	TssA
T6CP008378	T6SS00004	NC_002516	1807241	1807648	Pseudomonas aeruginosa PAO1	TssE
T6CP011362	T6SS00004	NC_002516	1815153	1816346	Pseudomonas aeruginosa PAO1	FHA
T6CP012421	T6SS00004	NC_002516	1813395	1814906	Pseudomonas aeruginosa PAO1	Sfa2
T6CP012422	T6SS00004	NC_002516	1822601	1823329	Pseudomonas aeruginosa PAO1	Stp1
T6CP012423	T6SS00004	NC_002516	1823326	1824315	Pseudomonas aeruginosa PAO1	Stk1
T6CP000020	T6SS00005	NC_002516	2607132	2608232	Pseudomonas aeruginosa PAO1	TssA
T6CP000021	T6SS00005	NC_002516	2608229	2612044	Pseudomonas aeruginosa PAO1	TssM
T6CP000022	T6SS00005	NC_002516	2612817	2614148	Pseudomonas aeruginosa PAO1	TssK
T6CP000023	T6SS00005	NC_002516	2614893	2615438	Pseudomonas aeruginosa PAO1	TssB
T6CP000024	T6SS00005	NC_002516	2615461	2616945	Pseudomonas aeruginosa PAO1	TssC
T6CP000025	T6SS00005	NC_002516	2617019	2617516	Pseudomonas aeruginosa PAO1	TssD
T6CP000026	T6SS00005	NC_002516	2617938	2619731	Pseudomonas aeruginosa PAO1	TssF
T6CP000027	T6SS00005	NC_002516	2619695	2620711	Pseudomonas aeruginosa PAO1	TssG
T6CP000028	T6SS00005	NC_002516	2620713	2623262	Pseudomonas aeruginosa PAO1	TssH
T6CP000029	T6SS00005	NC_002516	2624204	2626210	Pseudomonas aeruginosa PAO1	TssI
T6CP008379	T6SS00005	NC_002516	2612041	2612799	Pseudomonas aeruginosa PAO1	TssL
T6CP008380	T6SS00005	NC_002516	2617529	2617954	Pseudomonas aeruginosa PAO1	TssE
T6CP012424	T6SS00005	NC_002516	2605937	2607022	Pseudomonas aeruginosa PAO1	Sfa3
T6CP259500	T6SS00005	NC_002516	4374330	4374857	Pseudomonas aeruginosa PAO1	TecT
T6CP259501	T6SS00005	NC_002516	4373938	4374333	Pseudomonas aeruginosa PAO1	PAAR
T6CP000065	T6SS00009	NC_002927	831107	833470	Bordetella bronchiseptica RB50	TssI
T6CP000066	T6SS00009	NC_002927	839536	840564	Bordetella bronchiseptica RB50	TssA
T6CP000067	T6SS00009	NC_002927	840607	841170	Bordetella bronchiseptica RB50	TssB
T6CP000068	T6SS00009	NC_002927	841192	842694	Bordetella bronchiseptica RB50	TssC
T6CP000069	T6SS00009	NC_002927	842752	843237	Bordetella bronchiseptica RB50	TssD
T6CP000070	T6SS00009	NC_002927	844093	844611	Bordetella bronchiseptica RB50	TssE
T6CP000071	T6SS00009	NC_002927	844611	846524	Bordetella bronchiseptica RB50	TssF
T6CP000072	T6SS00009	NC_002927	847215	848309	Bordetella bronchiseptica RB50	TssG
T6CP000073	T6SS00009	NC_002927	849230	851839	Bordetella bronchiseptica RB50	TssH
T6CP000074	T6SS00009	NC_002927	853426	853968	Bordetella bronchiseptica RB50	TssJ
T6CP000075	T6SS00009	NC_002927	854014	855348	Bordetella bronchiseptica RB50	TssK
T6CP000076	T6SS00009	NC_002927	855369	856649	Bordetella bronchiseptica RB50	TssL
T6CP000077	T6SS00009	NC_002927	856646	860251	Bordetella bronchiseptica RB50	TssM
T6CP011386	T6SS00009	NC_002927	851938	852738	Bordetella bronchiseptica RB50	FHA
T6CP012695	T6SS00009	NC_002927	843287	844096	Bordetella bronchiseptica RB50	TagJ
T6CP000090	T6SS00013	NC_002947	2993074	2994411	Pseudomonas putida KT2440	TssK
T6CP000091	T6SS00013	NC_002947	2994467	2995264	Pseudomonas putida KT2440	TssJ
T6CP000092	T6SS00013	NC_002947	2995827	2996843	Pseudomonas putida KT2440	TssG
T6CP000093	T6SS00013	NC_002947	2996807	2998573	Pseudomonas putida KT2440	TssF
T6CP000094	T6SS00013	NC_002947	2998984	3000474	Pseudomonas putida KT2440	TssC
T6CP000095	T6SS00013	NC_002947	3000492	3000995	Pseudomonas putida KT2440	TssB
T6CP009574	T6SS00013	NC_002947	2989311	2991479	Pseudomonas putida KT2440	TssI
T6CP009575	T6SS00013	NC_002947	2991554	2992069	Pseudomonas putida KT2440	TssD
T6CP009576	T6SS00013	NC_002947	2992203	2993072	Pseudomonas putida KT2440	TssL
T6CP009577	T6SS00013	NC_002947	2998577	2998987	Pseudomonas putida KT2440	TssE
T6CP009580	T6SS00013	NC_002947	3003420	3007040	Pseudomonas putida KT2440	TssM
T6CP011401	T6SS00013	NC_002947	2995261	2995830	Pseudomonas putida KT2440	FHA
T6CP011402	T6SS00013	NC_002947	2984256	2984513	Pseudomonas putida KT2440	PAAR
T6CP012425	T6SS00013	NC_002947	3007118	3008971	Pseudomonas putida KT2440	TagT
T6CP000096	T6SS00014	NC_002947	3478723	3481218	Pseudomonas putida KT2440	TssM
T6CP000097	T6SS00014	NC_002947	3482120	3485923	Pseudomonas putida KT2440	TssM
T6CP000098	T6SS00014	NC_002947	3486667	3488010	Pseudomonas putida KT2440	TssK
T6CP000099	T6SS00014	NC_002947	3488007	3488729	Pseudomonas putida KT2440	TssJ
T6CP000100	T6SS00014	NC_002947	3488754	3491351	Pseudomonas putida KT2440	TssH
T6CP000101	T6SS00014	NC_002947	3491348	3492418	Pseudomonas putida KT2440	TssG
T6CP000102	T6SS00014	NC_002947	3492382	3494202	Pseudomonas putida KT2440	TssF
T6CP000103	T6SS00014	NC_002947	3494202	3494684	Pseudomonas putida KT2440	TssE
T6CP000104	T6SS00014	NC_002947	3494711	3496213	Pseudomonas putida KT2440	TssC
T6CP000105	T6SS00014	NC_002947	3496228	3496767	Pseudomonas putida KT2440	TssB
T6CP000106	T6SS00014	NC_002947	3508373	3510229	Pseudomonas putida KT2440	TssI
T6CP009578	T6SS00014	NC_002947	3476880	3477965	Pseudomonas putida KT2440	TssA
T6CP009579	T6SS00014	NC_002947	3478061	3478579	Pseudomonas putida KT2440	TssD
T6CP009581	T6SS00014	NC_002947	3485954	3486670	Pseudomonas putida KT2440	TssL
T6CP000107	T6SS00015	NC_002947	4596182	4599808	Pseudomonas putida KT2440	TssM
T6CP000108	T6SS00015	NC_002947	4602166	4602669	Pseudomonas putida KT2440	TssB
T6CP000109	T6SS00015	NC_002947	4604585	4606351	Pseudomonas putida KT2440	TssF
T6CP000110	T6SS00015	NC_002947	4606315	4607331	Pseudomonas putida KT2440	TssG
