seqid	genome_id	gene_oid	cluster_id	definition	locus_tag	scaffold	len_aa
ecistem_637000088_637682071	637000088	637682071	65503	Uncharacterized conserved protein, contains LysM and FecR  domains [General function prediction only]; Uncharacterized protein conserved in bacteria [Function unknown].	Daro_3598	NC_007298	153
ecistem_637000088_637682072	637000088	637682072	65503	WD40 repeats; Note that these repeats are permuted with respect to the structural repeats (blades) of the beta propeller domain.	Daro_3599	NC_007298	1212
ecistem_637000088_637682073	637000088	637682073	65503	TIR domain; This is a family of bacterial Toll-like receptors.	Daro_3600	NC_007298	463
ecistem_637000088_637682074	637000088	637682074	65503	DNA polymerase III subunit gamma/tau; DNA polymerase III subunits gamma and tau; Validated.	Daro_3601	NC_007298	1059
ecistem_637000088_637682075	637000088	637682075	65503		Daro_3602	NC_007298	
ecistem_637000088_637682076	637000088	637682076	65503		Daro_3603	NC_007298	
ecistem_637000088_637682077	637000088	637682077	65503		Daro_3604	NC_007298	942
ecistem_637000088_637682078	637000088	637682078	65503		Daro_3605	NC_007298	
ecistem_637000088_637682079	637000088	637682079	65503		Daro_3606	NC_007298	
ecistem_637000088_637682080	637000088	637682080	65503		Daro_3607	NC_007298	
ecistem_637000088_637682081	637000088	637682081	65503		Daro_3608	NC_007298	
ecistem_637000088_637682082	637000088	637682082	65503		Daro_3609	NC_007298	
ecistem_637000088_637682083	637000088	637682083	65503		Daro_3610	NC_007298	
ecistem_637000088_637682084	637000088	637682084	65503		Daro_3611	NC_007298	
ecistem_637000088_637682085	637000088	637682085	65503		Daro_3612	NC_007298	
ecistem_637000088_637682086	637000088	637682086	65503		Daro_3613	NC_007298	
ecistem_637000088_637682087	637000088	637682087	65503		Daro_3614	NC_007298	
ecistem_637000088_637682088	637000088	637682088	65503		Daro_3615	NC_007298	333
ecistem_637000088_637682089	637000088	637682089	65503		Daro_3616	NC_007298	
ecistem_637000088_637682090	637000088	637682090	65503	Caspase domain; Caspase domain.	Daro_3617	NC_007298	279
ecistem_637000088_637682091	637000088	637682091	65503	Tetratricopeptide (TPR) repeat [General function prediction only]; FOG: TPR repeat [General function prediction only].	Daro_3618	NC_007298	1806
ecistem_637000088_637682092	637000088	637682092	65503	Peptidase M15; Peptidase M15.	Daro_3619	NC_007298	222
ecistem_637000088_637682093	637000088	637682093	65503		Daro_3620	NC_007298	522
ecistem_637000120_637125638	637000120	637125638	65544		GSU0968	NC_002939	457
