seqid	genome_id	scaffold	start	end
tailgene_GCF_009765495.1_GCF_009765495.1_NZ_WHPA01000015.1_1171	GCF_009765495.1	GCF_009765495.1_NZ_WHPA01000015.1	1347283	1347882
tailgene_GCF_009765495.1_GCF_009765495.1_NZ_WHPA01000015.1_1172	GCF_009765495.1	GCF_009765495.1_NZ_WHPA01000015.1	1348278	1348787
tailgene_GCF_009765495.1_GCF_009765495.1_NZ_WHPA01000015.1_1173	GCF_009765495.1	GCF_009765495.1_NZ_WHPA01000015.1	1348784	1349329
tailgene_GCF_009765495.1_GCF_009765495.1_NZ_WHPA01000015.1_1174	GCF_009765495.1	GCF_009765495.1_NZ_WHPA01000015.1	1349353	1350357
tailgene_GCF_009765495.1_GCF_009765495.1_NZ_WHPA01000015.1_1175	GCF_009765495.1	GCF_009765495.1_NZ_WHPA01000015.1	1350493	1351005
tailgene_GCF_009765495.1_GCF_009765495.1_NZ_WHPA01000015.1_1176	GCF_009765495.1	GCF_009765495.1_NZ_WHPA01000015.1	1351016	1352398
tailgene_GCF_009765495.1_GCF_009765495.1_NZ_WHPA01000015.1_1177	GCF_009765495.1	GCF_009765495.1_NZ_WHPA01000015.1	1352409	1353008
tailgene_GCF_009765495.1_GCF_009765495.1_NZ_WHPA01000015.1_1178	GCF_009765495.1	GCF_009765495.1_NZ_WHPA01000015.1	1352996	1354036
tailgene_GCF_009765495.1_GCF_009765495.1_NZ_WHPA01000015.1_1179	GCF_009765495.1	GCF_009765495.1_NZ_WHPA01000015.1	1354026	1354424
tailgene_GCF_009765495.1_GCF_009765495.1_NZ_WHPA01000015.1_1180	GCF_009765495.1	GCF_009765495.1_NZ_WHPA01000015.1	1354424	1354933
tailgene_GCF_009765495.1_GCF_009765495.1_NZ_WHPA01000015.1_1181	GCF_009765495.1	GCF_009765495.1_NZ_WHPA01000015.1	1354930	1356036
tailgene_GCF_009765495.1_GCF_009765495.1_NZ_WHPA01000015.1_1182	GCF_009765495.1	GCF_009765495.1_NZ_WHPA01000015.1	1356040	1357533
tailgene_GCF_009765495.1_GCF_009765495.1_NZ_WHPA01000015.1_1183	GCF_009765495.1	GCF_009765495.1_NZ_WHPA01000015.1	1357530	1360058
tailgene_GCF_009765495.1_GCF_009765495.1_NZ_WHPA01000015.1_1184	GCF_009765495.1	GCF_009765495.1_NZ_WHPA01000015.1	1360189	1360485
tailgene_GCF_009765495.1_GCF_009765495.1_NZ_WHPA01000015.1_1185	GCF_009765495.1	GCF_009765495.1_NZ_WHPA01000015.1	1360482	1360829
tailgene_GCF_009765495.1_GCF_009765495.1_NZ_WHPA01000015.1_1186	GCF_009765495.1	GCF_009765495.1_NZ_WHPA01000015.1	1360897	1362393
tailgene_GCF_009765495.1_GCF_009765495.1_NZ_WHPA01000015.1_1187	GCF_009765495.1	GCF_009765495.1_NZ_WHPA01000015.1	1362412	1362597
tailgene_GCF_009765495.1_GCF_009765495.1_NZ_WHPA01000015.1_1188	GCF_009765495.1	GCF_009765495.1_NZ_WHPA01000015.1	1362594	1363184
tailgene_GCF_009765495.1_GCF_009765495.1_NZ_WHPA01000015.1_1189	GCF_009765495.1	GCF_009765495.1_NZ_WHPA01000015.1	1363271	1363609
tailgene_GCF_009765495.1_GCF_009765495.1_NZ_WHPA01000015.1_1190	GCF_009765495.1	GCF_009765495.1_NZ_WHPA01000015.1	1363590	1363979
tailgene_GCF_009765495.1_GCF_009765495.1_NZ_WHPA01000015.1_1191	GCF_009765495.1	GCF_009765495.1_NZ_WHPA01000015.1	1364284	1364721
tailgene_GCF_009765495.1_GCF_009765495.1_NZ_WHPA01000015.1_1192	GCF_009765495.1	GCF_009765495.1_NZ_WHPA01000015.1	1364723	1365508
tailgene_GCF_009765495.1_GCF_009765495.1_NZ_WHPA01000015.1_1193	GCF_009765495.1	GCF_009765495.1_NZ_WHPA01000015.1	1365657	1365914
tailgene_GCF_009765495.1_GCF_009765495.1_NZ_WHPA01000015.1_1194	GCF_009765495.1	GCF_009765495.1_NZ_WHPA01000015.1	1366003	1366185
tailgene_GCF_009765495.1_GCF_009765495.1_NZ_WHPA01000015.1_1195	GCF_009765495.1	GCF_009765495.1_NZ_WHPA01000015.1	1366232	1366474
tailgene_GCF_009765495.1_GCF_009765495.1_NZ_WHPA01000015.1_1196	GCF_009765495.1	GCF_009765495.1_NZ_WHPA01000015.1	1366588	1368519
tailgene_GCF_009765495.1_GCF_009765495.1_NZ_WHPA01000015.1_1197	GCF_009765495.1	GCF_009765495.1_NZ_WHPA01000015.1	1368663	1370144
tailgene_GCF_001716855.1_GCF_001716855.1_NZ_MBPF01000004.1_129	GCF_001716855.1	GCF_001716855.1_NZ_MBPF01000004.1	141110	142591
tailgene_GCF_001716855.1_GCF_001716855.1_NZ_MBPF01000004.1_130	GCF_001716855.1	GCF_001716855.1_NZ_MBPF01000004.1	142735	144666
